# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"166 ","Svajda, Zachary","$362,526 ","$356,107 ","$6,419","$855,261"
"167 ","Cilic, Marin","$361,759 ","$347,667 ","$14,092","$31,569,141"
"168 ","Melo, Marcelo","$355,363 ","$0 ","$355,363","$8,398,167"
"169 ","Meligeni Alves, Felipe","$354,723 ","$343,593 ","$11,130","$1,174,243"
"170 ","Ugo Carabelli, Camilo","$352,879 ","$334,614 ","$18,265","$819,750"
"171 ","Garin, Cristian","$350,213 ","$349,684 ",$529,"$5,965,842"
"172 ","Rojer, Jean-Julien","$348,856 ","$0 ","$348,856","$7,309,885"
"173 ","Doumbia, Sadio","$344,303 ","$0 ","$344,303","$925,655"
"174 ","Tirante, Thiago Agustin","$341,549 ","$335,991 ","$5,558","$858,502"
"175 ","Ramos-Vinolas, Albert","$340,793 ","$340,793 ",$0,"$10,948,826"
"176 ","Kopriva, Vit","$340,671 ","$336,386 ","$4,285","$844,999"
"Page 4 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"177 ","Kovalik, Jozef","$333,494 ","$318,936 ","$14,558","$2,091,306"
"178 ","Zeppieri, Giulio","$332,920 ","$332,920 ",$0,"$944,605"
"179 ","Reboul, Fabien","$332,055 ","$0 ","$332,055","$884,434"
"180 ","Wolf, J.J.","$326,642 ","$326,642 ",$0,"$2,417,228"
"181 ","Kukushkin, Mikhail","$326,420 ","$325,443 ",$977,"$7,244,866"
"182 ","Albot, Radu","$324,547 ","$318,249 ","$6,298","$5,347,189"
"183 ","Stricker, Dominic","$310,008 ","$264,522 ","$45,486","$1,662,157"
"184 ","Galloway, Robert","$309,608 ","$0 ","$309,608","$701,192"
